(no genres listed), 3.326379239118188, 4568
Action, 3.4665917497681593, 6913
Adventure, 3.517444633654892, 3868
Animation, 3.614946348438093, 2911
Children, 3.4325074920278045, 2866
Comedy, 3.4239925478057365, 16051
Crime, 3.685043693003225, 5024
Documentary, 3.7052805249822454, 5453
Drama, 3.677184674800756, 24465
Fantasy, 3.5115889157486, 2667
Film-Noir, 3.9257281769386028, 349
Horror, 3.2935633075659174, 5746
IMAX, 3.6037121959523324, 195
Musical, 3.554715987107105, 1017
Mystery, 3.670169244577933, 2782
Romance, 3.5427121571630567, 7305
Sci-Fi, 3.4781433928067798, 3502
Thriller, 3.5229643285084498, 8330
War, 3.7914657875591984, 1770
Western, 3.5857553061515595, 1156
